氏名,ふりがな,会派,選挙区,当選回数,令和6年1月19日現在
堤　　かなめ君,つつみ 　かなめ,立憲,福岡5,1,
角田　　秀穂君,つのだ 　ひでお,公明,（比）南関東,2,
手塚　　仁雄君,てづか 　よしお,立憲,東京5,5,
寺田　　　学君,てらた 　まなぶ,立憲,（比）東北,6,
寺田　　　稔君,てらだ 　みのる,自民,広島5,6,
土井　　　亨君,どい 　とおる,自民,宮城1,5,
渡海　紀三朗君,とかい 　きさぶろう,自民,兵庫10,10,
冨樫　　博之君,とがし 　ひろゆき,自民,秋田1,4,
徳永　　久志君,とくなが 　ひさし,維教,（比）近畿,1（参1）,
永岡　　桂子君,ながおか 　けいこ,自民,茨城7,6,
中川　　貴元君,なかがわ 　たかもと,自民,（比）東海,1,
中川　　宏昌君,なかがわ 　ひろまさ,公明,（比）北陸信越,1,
中川　　正春君,なかがわ 　まさはる,立憲,（比）東海,9,
中川　　康洋君,なかがわ 　やすひろ,公明,（比）東海,2,
中川　　郁子君,なかがわ 　ゆうこ,自民,（比）北海道,3,
長坂　　康正君,ながさか 　やすまさ,自民,愛知9,4,
長島　　昭久君,ながしま 　あきひさ,自民,（比）東京,7,
中島　　克仁君,なかじま 　かつひと,立憲,（比）南関東,4,
中嶋　　秀樹君,なかじま 　ひでき,維新,（比）近畿,1,
中曽根　康隆君,なかそね 　やすたか,自民,群馬1,2,
中谷　　一馬君,なかたに 　かずま,立憲,（比）南関東,2,
中谷　　　元君,なかたに 　げん,自民,高知1,11,
中谷　　真一君,なかたに 　しんいち,自民,山梨1,4,
中司　　　宏君,なかつか 　ひろし,維新,大阪11,1,
長妻　　　昭君,ながつま 　あきら,立憲,東京7,8,
長友　　慎治君,ながとも 　しんじ,国民,（比）九州,1,
中西　　健治君,なかにし 　けんじ,自民,神奈川3,1（参2）,
中根　　一幸君,なかね 　かずゆき,自民,（比）北関東,5,
中野　　英幸君,なかの 　ひでゆき,自民,埼玉7,1,
中野　　洋昌君,なかの 　ひろまさ,公明,兵庫8,4,
中村　喜四郎君,なかむら 　きしろう,立憲,（比）北関東,15,
中村　　裕之君,なかむら 　ひろゆき,自民,北海道4,4,
中山　　展宏君,なかやま 　のりひろ,自民,（比）南関東,4,
二階　　俊博君,にかい 　としひろ,自民,和歌山3,13,
仁木　　博文君,にき 　ひろぶみ,自民,徳島1,2,
西岡　　秀子君,にしおか 　ひでこ,国民,長崎1,2,
西田　　昭二君,にしだ 　しょうじ,自民,石川3,2,
西野　　太亮君,にしの 　だいすけ,自民,熊本2,1,
西村　　明宏君,にしむら 　あきひろ,自民,宮城3,6,
西村　智奈美君,にしむら 　ちなみ,立憲,新潟1,6,
西村　　康稔君,にしむら 　やすとし,自民,兵庫9,7,
西銘　恒三郎君,にしめ 　こうさぶろう,自民,沖縄4,6,
丹羽　　秀樹君,にわ 　ひでき,自民,愛知6,6,
額賀　福志郎君,ぬかが 　ふくしろう,無,茨城2,13,
根本　　　匠君,ねもと 　たくみ,自民,福島2,9,
根本　　幸典君,ねもと 　ゆきのり,自民,愛知15,4,
野田　　聖子君,のだ 　せいこ,自民,岐阜1,10,
野田　　佳彦君,のだ 　よしひこ,立憲,千葉4,9,
野中　　　厚君,のなか 　あつし,自民,（比）北関東,4,
野間　　　健君,のま 　たけし,立憲,鹿児島3,3,
萩生田　光一君,はぎうだ 　こういち,自民,東京24,6,
橋本　　　岳君,はしもと 　がく,自民,岡山4,5,
長谷川　淳二君,はせがわ 　じゅんじ,自民,愛媛4,1,
鳩山　　二郎君,はとやま 　じろう,自民,福岡6,3,
葉梨　　康弘君,はなし 　やすひろ,自民,茨城3,6,
馬場　　伸幸君,ばば 　のぶゆき,維新,大阪17,4,
馬場　　雄基君,ばば 　ゆうき,立憲,（比）東北,1,
浜田　　靖一君,はまだ 　やすかず,自民,千葉12,10,
浜地　　雅一君,はまち 　まさかず,公明,（比）九州,4,
早坂　　　敦君,はやさか 　あつし,維新,（比）東北,1,
林　　　幹雄君,はやし 　もとお,自民,千葉10,10,
林　　　佑美君,はやし 　ゆみ,維新,和歌山1,1,
林　　　芳正君,はやし 　よしまさ,自民,山口3,1（参5）,
原口　　一博君,はらぐち 　かずひろ,立憲,佐賀1,9,
伴野　　　豊君,ばんの 　ゆたか,立憲,（比）東海,6,
平井　　卓也君,ひらい 　たくや,自民,（比）四国,8,
平口　　　洋君,ひらぐち 　ひろし,自民,広島2,5,
平沢　　勝栄君,ひらさわ 　かつえい,自民,東京17,9,
平沼　正二郎君,ひらぬま 　しょうじろう,自民,岡山3,1,
平林　　　晃君,ひらばやし 　あきら,公明,（比）中国,1,
深澤　　陽一君,ふかざわ 　よういち,自民,静岡4,2,
福重　　隆浩君,ふくしげ 　たかひろ,公明,（比）北関東,1,
福島　　伸享君,ふくしま 　のぶゆき,有志,茨城1,3,
福田　　昭夫君,ふくだ 　あきお,立憲,栃木2,6,
福田　　達夫君,ふくだ 　たつお,自民,群馬4,4,
藤井　比早之君,ふじい 　ひさゆき,自民,兵庫4,4,
藤岡　たかお君,ふじおか 　たかお,立憲,（比）北関東,1,
藤田　　文武君,ふじた 　ふみたけ,維新,大阪12,2,
藤巻　　健太君,ふじまき 　けんた,維新,（比）南関東,1,
藤丸　　　敏君,ふじまる 　さとし,自民,福岡7,4,
藤原　　　崇君,ふじわら 　たかし,自民,岩手3,4,
太　　　栄志君,ふとり 　ひでし,立憲,神奈川13,1,
船田　　　元君,ふなだ 　はじめ,自民,栃木1,13,
古川　　直季君,ふるかわ 　なおき,自民,神奈川6,1,
古川　　元久君,ふるかわ 　もとひさ,国民,愛知2,9,
古川　　　康君,ふるかわ 　やすし,自民,（比）九州,3,
古川　　禎久君,ふるかわ 　よしひさ,自民,宮崎3,7,
古屋　　圭司君,ふるや 　けいじ,自民,岐阜5,11,
古屋　　範子君,ふるや 　のりこ,公明,（比）南関東,7,
穂坂　　　泰君,ほさか 　やすし,自民,埼玉4,2,
星野　　剛士君,ほしの 　つよし,自民,（比）南関東,4,
細田　　健一君,ほそだ 　けんいち,自民,新潟2,4,
細野　　豪志君,ほその 　ごうし,自民,静岡5,8,
掘井　　健智君,ほりい 　けんじ,維新,（比）近畿,1,
堀井　　　学君,ほりい 　まなぶ,自民,（比）北海道,4,
堀内　　詔子君,ほりうち 　のりこ,自民,山梨2,4,
堀場　　幸子君,ほりば 　さちこ,維新,（比）近畿,1,
本庄　　知史君,ほんじょう 　さとし,立憲,千葉8,1,
本田　　太郎君,ほんだ 　たろう,自民,京都5,2,
前原　　誠司君,まえはら 　せいじ,維教,京都2,10,
牧　　　義夫君,まき 　よしお,立憲,（比）東海,7,
牧島　かれん君,まきしま 　かれん,自民,神奈川17,4,
牧原　　秀樹君,まきはら 　ひでき,自民,（比）北関東,5,
松木けんこう君,まつき 　けんこう,立憲,北海道2,6,
松島　みどり君,まつしま 　みどり,自民,東京14,7,
松野　　博一君,まつの 　ひろかず,自民,千葉3,8,
松原　　　仁君,まつばら 　じん,立憲,東京3,8,
松本　　剛明君,まつもと 　たけあき,自民,兵庫11,8,
松本　　　尚君,まつもと 　ひさし,自民,千葉13,1,
松本　　洋平君,まつもと 　ようへい,自民,（比）東京,5,
馬淵　　澄夫君,まぶち 　すみお,立憲,奈良1,7,
三木　　圭恵君,みき 　けえ,維教,（比）近畿,2,
岬　　　麻紀君,みさき 　まき,維教,（比）東海,1,
三反園　　訓君,みたぞの 　さとし,自民,鹿児島2,1,
三谷　　英弘君,みたに 　ひでひろ,自民,（比）南関東,3,
道下　　大樹君,みちした 　だいき,立憲,北海道1,2,
三ッ林　裕巳君,みつばやし 　ひろみ,自民,埼玉14,4,
緑川　　貴士君,みどりかわ 　たかし,立憲,秋田2,2,
美延　　映夫君,みのべ 　てるお,維教,大阪4,2,
御法川　信英君,みのりかわ 　のぶひで,自民,秋田3,6,
宮内　　秀樹君,みやうち 　ひでき,自民,福岡4,4,
宮崎　　政久君,みやざき 　まさひさ,自民,（比）九州,4,
宮澤　　博行君,みやざわ 　ひろゆき,自民,（比）東海,4,
宮路　　拓馬君,みやじ 　たくま,自民,鹿児島1,3,
宮下　　一郎君,みやした 　いちろう,自民,長野5,6,
宮本　　岳志君,みやもと 　たけし,共産,（比）近畿,5（参1）,
宮本　　　徹君,みやもと 　とおる,共産,（比）東京,3,
務台　　俊介君,むたい 　しゅんすけ,自民,（比）北陸信越,4,
武藤　　容治君,むとう 　ようじ,自民,岐阜3,5,
宗清　　皇一君,むねきよ 　こういち,自民,（比）近畿,3,
村井　　英樹君,むらい 　ひでき,自民,埼玉1,4,
村上　誠一郎君,むらかみ 　せいいちろう,自民,愛媛2,12,
茂木　　敏充君,もてぎ 　としみつ,自民,栃木5,10,
本村　　伸子君,もとむら 　のぶこ,共産,（比）東海,3,
森　　　英介君,もり 　えいすけ,自民,千葉11,11,
守島　　　正君,もりしま 　ただし,維教,大阪2,1,
森田　　俊和君,もりた 　としかず,立憲,埼玉12,2,
森山　　　裕君,もりやま 　ひろし,自民,鹿児島4,7（参1）,
森山　　浩行君,もりやま 　ひろゆき,立憲,（比）近畿,3,
盛山　　正仁君,もりやま 　まさひと,自民,（比）近畿,5,
八木　　哲也君,やぎ 　てつや,自民,愛知11,4,
保岡　　宏武君,やすおか 　ひろたけ,自民,（比）九州,1,
谷田川　　元君,やたがわ 　はじめ,立憲,（比）南関東,3,
簗　　　和生君,やな 　かずお,自民,栃木3,4,
柳本　　　顕君,やなぎもと 　あきら,自民,（比）近畿,1,
山岡　　達丸君,やまおか 　たつまる,立憲,北海道9,3,
山岸　　一生君,やまぎし 　いっせい,立憲,東京9,1,
山際　大志郎君,やまぎわ 　だいしろう,自民,神奈川18,6,
山口　　俊一君,やまぐち 　しゅんいち,自民,徳島2,11,
山口　　　晋君,やまぐち 　すすむ,自民,埼玉10,1,
山口　　　壯君,やまぐち 　つよし,自民,兵庫12,7,
