氏名,ふりがな,会派,選挙区,当選回数
葉梨　　康弘君,はなし 　やすひろ,自民,茨城3,7
馬場　　伸幸君,ばば 　のぶゆき,維新,大阪17,5
馬場　　雄基君,ばば 　ゆうき,立憲,（比）東北,2
浜田　　靖一君,はまだ 　やすかず,自民,千葉12,11
浜地　　雅一君,はまち 　まさかず,公明,（比）九州,5
林　　　佑美君,はやし 　ゆみ,維新,（比）近畿,2
林　　　芳正君,はやし 　よしまさ,自民,山口3,2（参5）
原口　　一博君,はらぐち 　かずひろ,立憲,佐賀1,10
伴野　　　豊君,ばんの 　ゆたか,立憲,愛知8,7
日野　紗里亜君,ひの 　さりあ,国民,愛知7,1
平井　　卓也君,ひらい 　たくや,自民,（比）四国,9
平岩　　征樹君,ひらいわ 　まさき,国民,（比）近畿,1
平岡　　秀夫君,ひらおか 　ひでお,立憲,（比）中国,6
平口　　　洋君,ひらぐち 　ひろし,自民,広島2,6
平沢　　勝栄君,ひらさわ 　かつえい,自民,東京17,10
平沼　正二郎君,ひらぬま 　しょうじろう,自民,（比）中国,2
平林　　　晃君,ひらばやし 　あきら,公明,（比）中国,2
広瀬　　　建君,ひろせ 　けん,自民,大分2,1
深作　ヘスス君,ふかさく 　へすす,国民,（比）南関東,1
深澤　　陽一君,ふかざわ 　よういち,自民,（比）東海,3
福重　　隆浩君,ふくしげ 　たかひろ,公明,（比）北関東,2
福島　　伸享君,ふくしま 　のぶゆき,有志,茨城1,4
福田　　　徹君,ふくた 　とおる,国民,愛知16,1
福田　　昭夫君,ふくだ 　あきお,立憲,栃木2,7
福田　かおる君,ふくだ 　かおる,自民,東京18,1
福田　　　玄君,ふくだ 　げん,国民,（比）中国,1
福田　　淳太君,ふくだ 　じゅんた,立憲,（比）北陸信越,1
福田　　達夫君,ふくだ 　たつお,自民,群馬4,5
福原　　淳嗣君,ふくはら 　じゅんじ,自民,（比）東北,1
福森　和歌子君,ふくもり 　わかこ,立憲,（比）東海,1
藤井　比早之君,ふじい 　ひさゆき,自民,兵庫4,5
藤岡　たかお君,ふじおか 　たかお,立憲,栃木4,2
藤田　　文武君,ふじた 　ふみたけ,維新,大阪12,3
藤巻　　健太君,ふじまき 　けんた,維新,（比）南関東,2
藤丸　　　敏君,ふじまる 　さとし,自民,福岡7,5
藤原　　規眞君,ふじわら 　のりまさ,立憲,愛知10,1
太　　　栄志君,ふとり 　ひでし,立憲,神奈川13,2
船田　　　元君,ふなだ 　はじめ,自民,栃木1,14
古川　　直季君,ふるかわ 　なおき,自民,（比）南関東,2
古川　　元久君,ふるかわ 　もとひさ,国民,愛知2,10
古川　　　康君,ふるかわ 　やすし,自民,（比）九州,4
古川　　禎久君,ふるかわ 　よしひさ,自民,宮崎3,8
古屋　　圭司君,ふるや 　けいじ,自民,岐阜5,12
穂坂　　　泰君,ほさか 　やすし,自民,埼玉4,3
星野　　剛士君,ほしの 　つよし,自民,（比）南関東,5
細野　　豪志君,ほその 　ごうし,自民,静岡5,9
堀内　　詔子君,ほりうち 　のりこ,自民,山梨2,5
堀川　あきこ君,ほりかわ 　あきこ,共産,（比）近畿,1
本庄　　知史君,ほんじょう 　さとし,立憲,千葉8,2
本田　　太郎君,ほんだ 　たろう,自民,京都5,3
前原　　誠司君,まえはら 　せいじ,維新,京都2,11
牧　　　義夫君,まき 　よしお,立憲,愛知4,8
牧島　かれん君,まきしま 　かれん,自民,神奈川17,5
升田　世喜男君,ますた 　せきお,立憲,（比）東北,2
松尾　　明弘君,まつお 　あきひろ,立憲,東京7,2
松木けんこう君,まつき 　けんこう,立憲,北海道2,7
松下　　玲子君,まつした 　れいこ,立憲,（比）東京,1
松島　みどり君,まつしま 　みどり,自民,東京14,8
松田　　　功君,まつだ 　いさお,立憲,（比）東海,2
松野　　博一君,まつの 　ひろかず,自民,千葉3,9
松原　　　仁君,まつばら 　じん,無,東京26,9
松本　　剛明君,まつもと 　たけあき,自民,兵庫11,9
松本　　　尚君,まつもと 　ひさし,自民,千葉13,2
松本　　洋平君,まつもと 　ようへい,自民,（比）東京,6
円　　より子君,まどか 　よりこ,国民,（比）東京,1（参3）
眞野　　　哲君,まの 　さとし,立憲,（比）東海,1
馬淵　　澄夫君,まぶち 　すみお,立憲,奈良1,8
三木　　圭恵君,みき 　けえ,維新,（比）近畿,3
水沼　　秀幸君,みずぬま 　ひでゆき,立憲,千葉4,1
三角　　創太君,みすみ 　そうた,立憲,（比）北関東,1
三反園　　訓君,みたぞの 　さとし,自民,鹿児島2,2
三谷　　英弘君,みたに 　ひでひろ,自民,（比）南関東,4
道下　　大樹君,みちした 　だいき,立憲,北海道1,3
緑川　　貴士君,みどりかわ 　たかし,立憲,秋田2,3
美延　　映夫君,みのべ 　てるお,維新,大阪4,3
御法川　信英君,みのりかわ 　のぶひで,自民,（比）東北,7
宮内　　秀樹君,みやうち 　ひでき,自民,福岡4,5
宮川　　　伸君,みやかわ 　しん,立憲,（比）南関東,2
宮崎　　政久君,みやざき 　まさひさ,自民,（比）九州,5
宮路　　拓馬君,みやじ 　たくま,自民,（比）九州,4
宮下　　一郎君,みやした 　いちろう,自民,長野5,7
向山　　　淳君,むこうやま 　じゅん,自民,（比）北海道,1
向山　　好一君,むこやま 　こういち,国民,（比）近畿,2
武藤　　容治君,むとう 　ようじ,自民,岐阜3,6
村井　　英樹君,むらい 　ひでき,自民,埼玉1,5
村岡　　敏英君,むらおか 　としひで,国民,秋田3,3
村上　誠一郎君,むらかみ 　せいいちろう,自民,（比）四国,13
村上　　智信君,むらかみ 　とものぶ,維新,福岡11,1
茂木　　敏充君,もてぎ 　としみつ,自民,栃木5,11
本村　　伸子君,もとむら 　のぶこ,共産,（比）東海,4
森　　　英介君,もり 　えいすけ,自民,千葉11,12
森　ようすけ君,もり 　ようすけ,国民,（比）東京,1
森下　　千里君,もりした 　ちさと,自民,（比）東北,1
守島　　　正君,もりしま 　ただし,維新,大阪2,2
森田　　俊和君,もりた 　としかず,立憲,埼玉12,3
森山　　　裕君,もりやま 　ひろし,自民,鹿児島4,8（参1）
森山　　浩行君,もりやま 　ひろゆき,立憲,（比）近畿,4
矢崎　堅太郎君,やざき 　けんたろう,立憲,千葉5,1
谷田川　　元君,やたがわ 　はじめ,立憲,（比）南関東,4
簗　　　和生君,やな 　かずお,自民,栃木3,5
柳沢　　　剛君,やなぎさわ 　つよし,立憲,宮城3,1
八幡　　　愛君,やはた 　あい,れ新,（比）近畿,1
山　　登志浩君,やま 　としひろ,立憲,（比）北陸信越,1
山岡　　達丸君,やまおか 　たつまる,立憲,北海道9,4
山川　　　仁君,やまかわ 　ひとし,れ新,（比）九州,1
山岸　　一生君,やまぎし 　いっせい,立憲,東京9,2
山際　大志郎君,やまぎわ 　だいしろう,自民,（比）南関東,7
